C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2020,01,1,14,2,02,21,02,1,2,1,UU,01,01,2008,01,F,48,11,U,UU,1,000000002794118
2020,01,1,14,2,02,21,02,1,2,1,UU,02,01,2012,01,F,60,11,2,02,1,000000002794118
2020,01,1,08,2,03,QQ,02,2,5,1,UU,01,01,2012,01,F,48,11,U,UU,1,000000002794124
2020,01,1,08,2,03,QQ,02,2,5,1,UU,02,01,2009,01,F,46,11,U,UU,1,000000002794124
2020,01,1,08,2,03,QQ,02,2,5,1,UU,03,01,2002,01,M,76,11,2,02,1,000000002794124
2020,01,1,17,2,01,02,02,2,4,1,01,01,01,2017,01,F,64,11,U,UU,1,000000002794242
2020,01,1,17,2,01,02,02,2,4,1,01,99,NN,NNNN,01,M,28,99,2,NN,3,000000002794242
2020,01,1,15,2,02,21,02,2,3,1,01,01,08,2016,01,M,36,11,1,02,1,000000002794533
2020,01,1,15,2,02,21,02,2,3,1,01,02,01,1997,01,F,18,11,2,02,1,000000002794533
2020,01,1,15,2,02,21,02,2,3,1,01,02,01,1997,02,M,19,12,1,02,2,000000002794533
2020,01,1,14,2,02,21,02,4,3,1,01,01,01,2008,01,M,29,11,U,UU,1,000000002794534
2020,01,1,14,2,02,21,02,4,3,1,01,02,11,2016,01,F,40,11,U,UU,1,000000002794534
2020,01,1,14,2,02,21,02,4,3,1,01,02,11,2016,02,M,82,21,2,02,2,000000002794534
2020,01,1,18,2,02,33,02,1,2,1,01,01,01,2013,01,M,50,11,1,02,1,000000002794539
2020,01,1,18,2,02,33,02,1,2,1,01,02,01,2014,01,F,48,11,2,02,1,000000002794539
2020,01,1,11,2,01,QQ,UU,U,U,U,UU,01,11,2009,01,M,52,11,U,UU,1,000000002794667
2020,01,1,11,2,01,QQ,UU,U,U,U,UU,01,11,2009,02,M,87,12,2,13,2,000000002794667
2020,01,1,18,2,03,21,02,2,2,1,UU,01,UU,UUUU,01,U,UU,11,U,UU,U,000000002794676
2020,01,1,18,2,03,21,02,2,2,1,UU,02,01,2007,01,F,29,11,U,UU,1,000000002794676
2020,01,1,18,2,03,21,02,2,2,1,UU,03,01,2007,01,M,28,11,U,UU,1,000000002794676
2020,01,1,18,2,03,21,02,2,2,1,UU,03,01,2007,02,F,24,13,2,02,2,000000002794676
2020,01,1,06,2,01,02,02,2,2,1,01,01,01,2014,01,M,62,11,U,UU,1,000000002794828
2020,01,1,06,2,01,02,02,2,2,1,01,99,NN,NNNN,01,M,56,99,2,NN,3,000000002794828
2020,01,1,23,2,02,QQ,02,1,4,5,QQ,01,01,UUUU,01,M,24,UU,2,UU,U,000000002794832
2020,01,1,23,2,02,QQ,02,1,4,5,QQ,01,01,UUUU,02,M,16,UU,2,UU,U,000000002794832
2020,01,1,23,2,02,QQ,02,1,4,5,QQ,01,01,UUUU,03,M,16,UU,2,UU,U,000000002794832
2020,01,1,23,2,02,QQ,02,1,4,5,QQ,01,01,UUUU,04,U,UU,11,U,UU,1,000000002794832
